id,popularity,rarity,brand,type,age,condition,weight,length,width,height,scarcity,price
39,93.253,Common,A,LOP0,10.05,A1,39.76,7.651,6.739,4.523,0.6990000000000001,3430.773
40,96.529,Rare,A,AF66,8.875,,56.022,9.49,9.030999999999999,5.146,0.885,10972.966
41,98.132,Common,D,,8.157,A1,44.989,6.197,6.277,4.305,0.8140000000000001,831.116
42,89.634,,,AF66,,C1,,8.129,6.423,3.859,0.5650000000000001,862.109
43,93.12,Rare,C,LOP0,12.374,B2,,10.059999999999999,9.447,5.525,0.8540000000000001,27263.977
44,99.714,Very Rare,C,LOP0,10.104,A2,39.164,9.620000000000001,9.463000000000001,5.2379999999999995,0.47700000000000004,13046.111
45,89.924,Common,C,LOP0,10.38,B2,43.811,8.4,7.91,5.381,0.557,11940.909
46,101.531,Very Rare,E,LOP0,8.953,A2,49.183,7.604,7.632,5.661,0.9490000000000001,9026.49
47,98.26,Very Rare,C,AF66,9.075,B1,39.396,7.085,6.692,4.154,0.36400000000000005,1821.235
48,93.192,Common,D,JH88,10.293,B2,41.144,6.996,6.723,4.545,,2173.722
49,98.309,Common,,JH88,12.496,B2,31.277,9.155000000000001,8.637,6.043,0.6200000000000001,16175.64
50,98.505,Very Rare,E,WE92,10.393,C2,35.357,7.915,7.123,5.073,0.853,3947.556
51,91.505,,C,JH88,7.845,C1,46.602000000000004,6.606,6.68,4.6129999999999995,0.8420000000000001,2004.749
52,96.421,Very Rare,A,LOP0,10.968,,30.612000000000002,8.921,8.684000000000001,6.012,0.645,12051.312
53,94.749,Common,F,DE13,9.925,A2,44.171,8.669,8.936,4.875,0.682,13922.676
54,91.63,Common,C,AF66,8.729,B1,29.183,6.082,7.546,4.349,0.36000000000000004,2162.48
55,93.139,Rare,,AF66,10.565,B2,59.714,8.424,7.713,5.016,0.78,5357.151
56,96.501,Very Rare,B,,8.467,A2,49.583,9.708,7.588,4.946,0.628,10321.571
57,94.755,Common,A,WE92,10.633,B2,45.36,6.879,6.492,3.644,0.47300000000000003,3295.963
58,94.876,Common,C,IJN13,9.469,B2,22.441,8.525,7.447,4.895,0.841,4940.006
59,89.842,Rare,C,LOP0,11.702,A2,55.797,7.086,7.08,4.79,0.32,2362.504
60,94.561,Rare,D,LOP0,10.913,B2,38.102,7.477,8.125,5.085,0.9259999999999999,7006.899
61,96.614,,F,WE92,11.147,D,32.938,9.423,9.547,5.673,0.401,30276.447
62,,Common,C,AF66,7.471,C1,42.42,9.442,8.977,5.220000000000001,0.536,8967.724
63,92.908,Common,A,WE92,10.636,B2,35.53,6.388,6.494,4.339,0.519,1090.052
64,94.833,Common,D,JH88,7.395,B2,34.402,7.668,7.596,3.878,0.748,3138.899
65,87.945,Common,C,WE92,11.033,C2,62.695,7.255,6.742,4.416,0.35800000000000004,2930.854
66,94.785,Common,A,IJN13,10.599,A2,53.902,9.072,9.079,4.8919999999999995,0.899,27082.849
67,103.339,Rare,A,JH88,7.757,C1,30.401,8.712,9.548,6.215,0.6020000000000001,25396.981
68,89.623,Common,F,AF66,9.511,,45.84,7.872,7.653,4.007,0.35500000000000004,695.125
69,95.101,Common,C,LOP0,8.109,A2,43.396,5.656000000000001,6.427,4.170999999999999,0.788,1504.128
70,93.276,Common,D,JH88,9.719,C1,40.228,9.862,9.474,6.005,1.07,22622.306
71,96.736,Rare,B,IJN13,9.338,B1,37.785,7.185,7.172,3.676,0.9570000000000001,559.817
72,96.329,Rare,E,LOP0,10.136,A2,39.165,8.482,9.359,4.786,0.5670000000000001,5895.935
73,100.376,Very Rare,A,JH88,8.988,B1,45.24,8.794,7.841,4.5,0.7410000000000001,2851.956
74,,Common,E,JH88,9.283,A2,42.742,6.793,7.246,4.384,0.47800000000000004,1806.916
75,94.748,Common,F,LOP0,8.185,D,25.146,10.016,9.714,5.944,0.788,15305.74
76,93.1,Common,A,AF66,10.593,A1,24.958,8.76,8.301,5.815,0.36300000000000004,23583.203
77,93.34,Common,F,DE13,10.097,A2,41.026,6.867,7.617,4.8260000000000005,0.333,3508.836
78,98.33,Somewhat Rare,B,LOP0,11.032,A2,33.624,8.023,8.123000000000001,5.151,0.629,9649.486
79,93.398,Common,A,LOP0,8.228,,28.895,6.948,7.304,4.355,0.869,120.154
80,91.524,Common,C,JH88,,A1,58.07,8.482,6.4559999999999995,4.311,0.43900000000000006,3343.643
81,98.256,Very Rare,A,DE13,9.67,B2,53.8,11.53,11.153,6.96,0.585,42443.645
82,93.084,Common,C,JH88,10.772,A2,49.259,6.404,7.398,4.571,0.937,5427.058
83,98.166,Very Rare,C,JH88,9.032,B2,53.798,9.751999999999999,9.785,6.627,0.593,33573.42
84,98.216,Rare,C,LOP0,10.247,B2,,8.486,9.222000000000001,6.021,0.35300000000000004,12576.246
85,97.969,Very Rare,C,AF66,10.948,,30.957,9.25,8.984,5.604,0.784,12496.643
86,93.19,Common,C,JH88,9.729,C1,31.395,6.0809999999999995,7.15,4.348,0.9910000000000001,890.813
87,90.011,Rare,F,LOP0,11.612,A1,45.844,6.789,6.492,4.257,0.388,1389.951
88,98.2,Common,C,LOP0,7.909,C2,57.033,10.285,11.344,6.233,0.849,41315.867
89,94.906,Rare,C,AF66,7.482,A1,29.567999999999998,7.406,7.666,4.696,0.404,7018.71
90,93.179,Common,C,JH88,,B2,48.325,9.236,9.038,5.616,0.561,17505.651
91,103.383,Rare,A,DE13,10.742,C2,28.429000000000002,8.099,9.440000000000001,5.337,0.41100000000000003,18678.306
92,96.495,Very Rare,B,WE92,11.466,B2,35.95,7.351,7.748,4.083,0.449,2491.336
93,,Rare,F,LOP0,,A2,49.993,8.809000000000001,7.474,4.885,0.47200000000000003,13210.382
94,99.936,Very Rare,A,RESS211,7.924,B1,56.479,10.2,8.434999999999999,5.09,,25376.876
95,94.923,Rare,A,IJN13,8.477,A2,,8.215,8.812999999999999,4.098,0.8620000000000001,6725.247
96,89.795,,D,JH88,10.403,C1,45.749,6.35,6.769,4.218999999999999,0.6060000000000001,1210.679
97,93.041,Common,B,LOP0,9.634,C1,20.31,6.204000000000001,6.973,4.013,0.42700000000000005,868.195
98,94.967,Common,B,AF66,,B2,48.933,9.36,10.123000000000001,5.761,0.796,34602.992
99,94.665,Common,C,LOP0,8.872,A1,35.606,7.175,7.572,4.432,0.637,6295.542
100,98.326,Very Rare,,LOP0,8.636,B1,47.123,9.678,10.165,6.054,0.559,29955.545
101,96.581,Very Rare,,LOP0,,A1,58.058,7.199,8.134,4.928,0.9750000000000001,4996.599
102,96.409,Rare,C,LOP0,8.025,A2,37.831,7.754,8.385,4.149,0.777,1938.784
103,93.114,Somewhat Rare,,LOP0,8.21,A2,60.768,7.394,8.119,4.678,0.7270000000000001,6180.093
104,93.003,Common,C,IJN13,10.376,C2,34.953,9.661999999999999,9.768,5.917,0.539,28840.427
105,98.325,Very Rare,C,AF66,10.317,C1,45.745,10.171,9.373999999999999,5.619,0.9430000000000001,21421.888
106,94.974,Common,A,LOP0,10.165,C1,32.616,9.179,8.568999999999999,5.526,0.757,13101.909
107,94.792,Rare,C,LOP0,11.28,A2,38.897,8.918,9.254999999999999,5.0329999999999995,0.55,12223.474
108,92.886,Common,D,AF66,,C1,15.422999999999998,6.195,6.594,3.619,0.9219999999999999,413.222
109,101.938,Rare,A,AF66,8.527,C1,,10.955,10.111,6.264,0.8160000000000001,25849.821
110,93.054,,A,DE13,10.517,B2,46.298,11.188,9.934000000000001,6.506,0.555,44061.049
111,94.634,Common,D,AF66,9.218,C2,48.188,7.694,8.338000000000001,4.754,0.772,6859.643
112,100.159,Very Rare,D,AF66,7.305,,30.695,7.009,7.694,4.522,0.638,1862.082
113,96.581,Rare,D,DE13,10.067,A1,40.693,9.174,9.164,5.946,1.002,13236.903
114,94.827,Common,E,DE13,10.549,A1,47.828,7.989,7.821,5.091,0.378,4427.583
115,98.157,Very Rare,D,AF66,9.872,B2,46.278999999999996,9.143,8.111,5.794,0.315,11823.741
116,93.147,Common,C,LOP0,9.676,C1,39.904,8.428,8.533999999999999,5.128,0.5670000000000001,6054.162
117,96.402,Very Rare,A,LOP0,10.835,C1,54.506,10.114,9.256,5.395,0.379,16648.348
118,98.351,Very Rare,C,DE13,8.952,A2,47.041,10.043,9.555,5.0809999999999995,0.8640000000000001,11827.879
119,100.018,Very Rare,D,DE13,10.241,B2,31.667,9.324,9.664,6.385,0.644,11446.515
120,96.694,Rare,F,LOP0,8.375,A2,52.677,9.254,9.805,6.158,0.8860000000000001,24457.009
121,91.325,Common,,IJN13,,B2,23.144,7.349,7.973,4.098,0.831,982.732
122,96.47,Very Rare,A,JH88,9.502,B2,57.961,11.228,10.024000000000001,5.804,1.0050000000000001,32383.096
123,89.671,Common,B,DE13,10.028,C1,51.169,6.935,6.420999999999999,3.851,0.708,814.07
124,94.877,Rare,C,JH88,9.664,C1,34.689,7.314,6.82,4.52,1.024,2212.389
125,94.694,Rare,C,JH88,11.798,B2,36.952,9.267,9.796,6.058,0.8220000000000001,37427.437
126,91.633,Common,C,LOP0,,B2,29.853,9.076,9.464,5.115,0.917,9396.506
127,94.86,Common,,WE92,,A2,40.17,6.585,7.129,4.319,0.642,-174.157
128,89.631,Common,,DE13,8.377,A2,45.539,7.223,8.231,4.5489999999999995,0.47600000000000003,2406.13
129,91.269,Common,D,,11.787,C1,35.634,7.828,8.583,4.577,0.761,8532.011
130,94.77,Common,D,LOP0,10.599,C2,31.339,9.883,8.777000000000001,5.567,0.626,12456.72
131,93.064,Common,E,,8.641,B2,45.149,6.509,6.489,3.913,0.8860000000000001,2189.445
132,93.277,Rare,A,DE13,7.961,,36.291,9.059999999999999,9.325,4.862,0.782,8305.873
133,97.999,Rare,E,LOP0,7.388,A1,43.131,9.902999999999999,9.901,5.887,0.42500000000000004,18766.732
134,91.399,Common,B,JH88,10.097,D,41.764,7.021,6.577,4.584,0.751,3271.353
135,93.189,Common,A,DE13,9.382,A1,34.101,6.335,6.305,4.354,0.948,1067.78
136,98.288,Somewhat Rare,E,DE13,13.901,C1,34.885,9.462,8.08,5.237,0.487,8559.421
137,93.39,Somewhat Rare,A,LOP0,10.092,B2,28.111,8.917,8.718,5.088,0.791,7916.33
138,97.003,Very Rare,F,LOP0,7.605,C1,37.347,11.097,10.614,6.368,0.8480000000000001,43713.831
139,99.939,,,AF66,7.673,B1,62.463,8.665,9.363,5.838,0.8109999999999999,40583.012
140,98.327,Rare,C,AF66,9.985,B1,41.559,7.577,7.978,4.75,0.30500000000000005,4575.657
141,96.52,Very Rare,D,WE92,7.786,C1,35.515,6.746,6.702,4.37,0.935,3347.975
142,92.951,Common,B,RESS211,8.812,B1,31.225,7.035,6.179,4.122,0.7290000000000001,2563.318
143,98.403,Very Rare,C,DE13,4.906,D,36.479,7.217,7.909,5.009,0.909,3166.796
144,96.716,Very Rare,A,AF66,8.954,B2,26.537,9.775,9.850999999999999,5.0489999999999995,0.9020000000000001,22356.05
145,93.295,Rare,A,AF66,12.153,B2,49.052,9.759,9.853,5.965,0.863,21251.59
146,91.586,Common,B,LOP0,11.684,A2,40.182,8.634,7.912,5.465,0.8400000000000001,6625.449
147,91.46,Somewhat Rare,D,IJN13,12.673,A1,45.437,7.561,8.052,5.632,0.45,7297.297
148,101.81,Rare,B,DE13,11.003,A2,33.768,9.408000000000001,9.241,5.715,0.6160000000000001,14818.914
149,101.878,Rare,C,LOP0,6.713,C1,43.844,8.155000000000001,9.402999999999999,5.362,,11737.45
150,96.47,Very Rare,D,LOP0,7.424,C2,48.599000000000004,10.475,9.341000000000001,5.56,1.038,12725.11
151,98.092,Rare,A,DE13,9.121,B2,32.642,8.144,8.171,5.241,0.339,6908.387
152,93.267,Common,A,,10.595,B2,54.477000000000004,7.936,7.934,4.63,0.519,3617.125
153,92.955,Common,C,DE13,9.889,A1,41.926,7.265,6.584,3.805,0.889,439.06
154,93.322,Common,C,DE13,9.457,B2,32.551,10.759,9.997,6.241,0.847,39529.688
155,93.139,,B,LOP0,10.63,C1,24.822,9.376999999999999,9.777999999999999,5.847,0.8140000000000001,18198.553
156,101.671,Somewhat Rare,C,WE92,7.564,B1,46.88,6.241,7.493,4.221,0.875,874.264
157,89.956,Somewhat Rare,,LOP0,,C1,33.764,6.241,7.051,4.322,0.583,60.529
158,95.011,Common,D,IJN13,9.593,C2,45.49,6.782,6.562,4.693,0.402,1955.997
159,96.378,,C,DE13,9.821,A1,48.533,7.163,7.361,4.487,0.387,1243.798
160,99.768,Very Rare,B,LOP0,9.145,B1,36.897,6.578,8.373999999999999,5.006,0.771,6056.724
161,98.1,Very Rare,A,AF66,,B1,29.072,9.867,8.448,5.871,0.784,16521.714
162,93.261,Rare,D,DE13,8.908,A2,29.820999999999998,10.013,10.904,7.26,0.907,38863.728
163,94.821,Common,A,LOP0,8.737,B2,45.142,6.353,7.274,5.307,0.68,7385.478
164,91.484,Common,C,WE92,8.022,B2,49.943,7.566,7.476,3.905,0.542,1823.022
165,96.782,Common,C,DE13,8.942,A1,41.333,10.018,8.015,5.636,0.466,11203.749
166,98.41,,B,DE13,10.078,A1,49.665,9.222999999999999,8.551,4.734999999999999,0.974,6427.92
167,96.612,Very Rare,C,LOP0,8.961,B2,47.533,8.004999999999999,8.437000000000001,4.354,0.468,2427.81
168,89.752,Common,E,LOP0,9.408,B1,52.242000000000004,6.741,7.283,4.564,0.5760000000000001,652.722
169,94.772,Common,D,AF66,9.623,C1,38.415,7.582,7.963,4.529999999999999,0.42900000000000005,3374.97
170,94.833,Common,,DE13,10.414,D,37.678,8.879,9.125,5.502,,13645.381
171,94.763,Very Rare,F,LOP0,9.924,A2,46.763,6.784,6.948,4.686,0.9550000000000001,2956.885
172,98.121,Rare,C,LOP0,8.313,A1,55.649,8.664,7.675,4.646,0.8600000000000001,3342.648
173,94.832,Common,D,AF66,10.255,A2,30.334,6.49,6.1240000000000006,3.922,0.795,3653.999
174,91.498,Common,F,AF66,,B1,45.883,6.648,6.657,4.166,0.6060000000000001,1254.553
175,93.083,Common,C,RESS211,8.808,B1,39.232,7.143,6.881,5.237,0.9359999999999999,3403.76
176,99.914,Very Rare,F,AF66,9.294,D,33.359,7.431,8.518,4.926,,1914.518
177,94.998,Common,C,DE13,8.882,C2,44.587,9.23,10.091999999999999,5.778,0.873,13847.117
178,94.884,Common,B,AF66,9.352,C1,53.426,7.396,7.962,4.769,1.002,3596.26
179,96.426,Rare,B,LOP0,10.645,B1,37.84,7.878,8.2,5.228,0.44000000000000006,6240.428
180,96.339,Somewhat Rare,A,KJ001,,D,44.042,10.437000000000001,10.271,6.231,0.63,15533.368
181,89.73,Common,C,DE13,9.288,A2,47.533,8.753,8.423,5.514,0.857,6455.087
182,94.941,Somewhat Rare,B,AF66,11.033,A2,51.831,8.292,7.615,4.617,0.551,2437.458
183,100.106,Very Rare,A,DE13,6.45,D,45.515,9.969000000000001,9.507,5.411,0.628,10449.242
184,94.753,Common,D,JH88,11.072,B1,35.631,9.231,7.632,5.402,0.792,8698.29
185,96.732,Very Rare,C,AF66,9.487,C1,54.472,9.378,9.981,5.539,0.376,12462.403
186,91.845,Common,B,LOP0,11.344,B1,,7.937,8.056000000000001,4.616,0.8780000000000001,2475.128
187,93.337,Rare,C,LOP0,8.846,C1,38.768,10.484,10.548,6.445,0.42200000000000004,23733.828
188,88.047,Very Rare,A,LOP0,9.687,B1,43.854,9.32,9.225999999999999,5.32,0.764,15994.111
189,98.601,Very Rare,C,LOP0,,C1,33.092,7.199,7.059,4.503,0.459,380.568
190,94.812,Common,C,LOP0,11.287,A2,29.694000000000003,6.786,7.968,4.041,0.771,1085.932
191,100.137,Rare,A,DE13,8.997,B1,56.510000000000005,9.952,11.184,5.732,0.775,45938.974
192,91.375,Common,C,LOP0,9.098,A1,39.255,8.195,6.3309999999999995,3.884,0.43800000000000006,1826.0
193,94.81,Rare,A,AF66,10.676,C2,45.324,7.488,7.436,5.372,0.7310000000000001,7621.268
194,91.432,Common,,JH88,10.223,B2,43.011,6.779,7.544,4.143,0.401,-639.467
195,95.141,Rare,,DE13,,C2,44.057,8.68,8.922,4.667,0.35900000000000004,7680.516
196,93.238,Common,C,IJN13,9.705,B2,41.861,8.211,7.486,4.404999999999999,0.47500000000000003,1916.569
197,96.807,Very Rare,A,AF66,7.951,D,58.095,11.234,11.416,6.9,0.835,44530.094
198,103.511,Very Rare,D,JH88,8.968,B2,31.003999999999998,9.911999999999999,10.038,6.168,0.849,29367.969
199,96.595,Very Rare,D,AF66,7.645,A2,44.247,8.902000000000001,7.796,4.779,,6117.25
200,91.639,Common,C,DE13,7.241,C1,49.829,11.613,10.706,6.834,1.0070000000000001,44480.633
201,98.176,,D,,6.761,C1,44.096000000000004,8.393,7.678,3.952,0.964,7270.252
202,94.985,Common,C,LOP0,7.698,B1,44.144,7.684,8.051,4.976,0.47000000000000003,5830.08
203,101.516,Somewhat Rare,C,LOP0,5.495,A2,40.227,7.044,7.9,5.01,0.8540000000000001,3976.366
204,101.338,Rare,B,LOP0,8.813,C1,32.868,6.136,6.318,3.792,0.749,-677.049
205,94.654,Common,B,DE13,8.606,A2,44.056,10.975,10.431000000000001,6.563,0.376,27194.331
206,98.196,Rare,C,LOP0,9.022,B1,40.747,8.599,8.218,5.655,0.672,5892.968
207,96.597,Common,C,WE92,9.131,A2,50.491,9.317,9.189,5.909,,39517.975
208,94.929,Rare,C,LOP0,11.002,B2,39.325,10.065000000000001,8.753,5.771,0.9570000000000001,10082.657
209,93.054,Common,C,JH88,10.094,,51.174,8.504,8.771,6.025,0.8520000000000001,14061.128
210,92.983,Common,A,DE13,8.806,B1,41.676,8.16,7.529,4.445,0.495,2530.168
211,93.19,Common,C,LOP0,8.786,C2,50.551,9.058,8.581,6.122,0.7410000000000001,14034.365
212,91.469,Common,A,WE92,8.339,C1,61.245999999999995,7.633,7.458,4.463,1.04,3301.609
213,94.764,Common,C,LOP0,8.574,C1,31.506999999999998,9.126999999999999,9.677,4.859999999999999,0.917,12640.259
214,96.475,Very Rare,F,DE13,11.225,,57.783,10.108,10.906,6.534,0.797,44078.487
215,93.081,Common,D,IJN13,7.528,,35.718,7.48,8.307,5.057,0.389,623.059
216,93.032,Common,C,RESS211,7.443,,44.519999999999996,8.802,8.384,5.045,0.7370000000000001,7753.186
217,93.123,Common,D,JH88,10.27,C2,41.345,7.035,7.541,4.362,0.9490000000000001,1694.986
218,98.222,Very Rare,F,LOP0,8.657,D,59.099000000000004,9.585,9.807,6.042,0.397,11489.307
219,99.886,Very Rare,C,DE13,7.33,A2,47.777,9.789,10.107,6.066,0.812,21392.19
220,91.533,Common,D,WE92,9.624,A1,31.042,6.617,6.188000000000001,5.024,0.7310000000000001,2777.264
221,98.098,Somewhat Rare,C,DE13,6.76,B2,29.956,9.452,10.726,5.939,0.467,22490.071
222,96.513,,D,AF66,8.549,A1,56.230000000000004,8.841000000000001,9.417,6.811,0.893,38317.374
223,96.643,Somewhat Rare,C,DE13,12.266,C1,49.446,8.277999999999999,8.405999999999999,5.4670000000000005,0.393,8182.434
224,94.659,Common,D,LOP0,11.128,B2,44.664,10.887,9.277000000000001,6.189,0.75,41949.51
225,96.84,Rare,D,AF66,12.084,C2,,8.748999999999999,8.353,4.862,0.542,9086.669
226,96.353,Very Rare,E,AF66,11.033,C1,,9.225999999999999,8.215,5.33,0.55,14712.901
227,96.61,Very Rare,A,IJN13,10.811,B1,51.843,7.428,7.704,4.893,0.8560000000000001,3153.606
228,89.745,Common,,WE92,11.235,B1,34.706,7.205,7.123,4.716,0.871,3370.54
229,93.071,Common,,RESS211,8.554,B2,30.341,6.878,5.723,4.3149999999999995,0.976,1699.006
230,93.081,,C,DE13,,,40.777,10.426,12.332,6.866,0.327,33198.806
231,97.936,Very Rare,D,WE92,9.191,B1,40.69,7.714,7.607,4.697,0.399,4063.735
232,96.391,Very Rare,F,DE13,9.03,A2,45.794,9.271,8.785,5.272,0.536,10952.113
233,94.941,Rare,C,DE13,11.837,C2,35.68,7.906,7.471,5.138,1.031,8353.375
234,94.961,Common,A,JH88,8.958,B2,47.51,6.813,6.3870000000000005,4.163,0.34400000000000003,2934.971
235,91.467,Common,F,AF66,9.282,B2,47.87,7.904,8.873999999999999,4.7620000000000005,0.40800000000000003,7816.9
236,93.205,Rare,C,DE13,9.709,B1,57.961,9.617,8.575,5.275,0.9870000000000001,11593.815
237,93.426,Common,C,JH88,9.098,B2,54.176,9.934000000000001,9.331,5.415,0.952,20131.277
238,94.776,Common,D,DE13,8.839,B1,34.582,6.998,6.927,4.825,0.396,2719.004
239,100.009,Rare,A,AF66,12.159,B2,43.741,7.845,8.712,5.282,0.624,16557.808
240,93.158,,A,JH88,9.245,B2,34.915,6.81,7.765,4.55,0.909,4680.814
241,93.377,Common,D,AF66,11.082,A1,51.637,8.283999999999999,8.41,5.433,0.9690000000000001,17494.438
242,94.794,Very Rare,E,WE92,8.925,C1,62.323,7.134,7.995,4.5009999999999994,0.5710000000000001,3915.173
243,94.909,Common,A,AF66,9.291,A1,52.635999999999996,7.03,7.566,4.763999999999999,0.7190000000000001,843.701
244,101.647,Rare,E,LOP0,11.442,A1,43.698,7.303,7.257,4.649,0.726,1712.658
245,96.527,Very Rare,E,AF66,9.639,A1,37.976,5.723,6.052,4.234999999999999,0.692,1229.295
246,96.799,Very Rare,B,IJN13,8.217,A2,55.11,6.617,7.069,4.025,0.635,1771.78
247,98.053,Common,A,LOP0,11.402,C1,42.048,8.921,8.753,5.218,0.553,10979.728
248,93.356,Common,F,AF66,8.489,B2,58.055,9.357,9.751999999999999,6.36,0.375,30173.569
249,98.257,Very Rare,C,AF66,10.575,A2,40.833,8.558,8.222999999999999,4.843999999999999,0.447,6791.784
250,93.132,Common,A,JH88,10.453,B2,29.617,7.879,7.468,4.255,0.8500000000000001,1778.575
251,96.677,Very Rare,A,LOP0,11.721,A1,33.17,8.616,9.167,5.227,0.553,13073.979
252,93.04,Rare,F,LOP0,12.066,B2,56.049,8.184000000000001,8.641,5.509,0.498,11575.313
253,98.355,Very Rare,A,DE13,13.316,C2,36.231,8.572,7.697,5.798,0.792,7615.803
254,94.939,Common,A,IJN13,8.799,C2,49.932,7.302,6.379,4.959,0.41400000000000003,2644.547
255,93.019,Common,C,IJN13,11.498,B2,34.508,7.642,7.34,4.303,0.43100000000000005,-592.789
256,98.327,Very Rare,B,AF66,7.917,D,35.95,10.181000000000001,10.491,5.914,0.391,20788.866
257,101.718,Rare,B,,7.613,A2,35.021,8.423,7.94,4.699,0.676,8383.773
258,91.387,Common,F,WE92,9.409,B2,56.206,7.669,7.748,4.5600000000000005,0.929,761.698
259,93.137,Common,B,AF66,9.74,A1,31.674,8.370000000000001,8.158999999999999,4.2620000000000005,0.468,5690.209
260,101.75,Rare,C,LOP0,7.218,C1,25.364,10.732,10.734,6.655,0.41600000000000004,47973.627
261,98.319,Rare,F,LOP0,10.888,B2,69.416,8.277999999999999,9.205,5.493,0.328,6509.624
262,96.632,Common,C,AF66,6.616,C1,,9.599,8.671,6.152,0.629,27980.996
263,96.801,Very Rare,C,AF66,9.499,C1,23.12,6.114,6.195,4.478,0.541,1457.268
264,91.347,Common,A,AF66,8.978,B1,67.80199999999999,7.185,6.875,4.561999999999999,0.375,1636.583
265,93.161,Common,E,DE13,10.089,A1,36.23,9.056000000000001,8.955,5.2780000000000005,0.42700000000000005,12941.663
266,89.891,Common,C,DE13,10.191,A2,60.427,9.214,8.613,4.77,0.775,9163.765
267,97.987,Rare,A,LOP0,9.467,C1,42.752,8.689,9.421,5.631,0.8320000000000001,12983.091
268,96.607,Rare,D,IJN13,8.969,B2,47.268,6.523,7.347,4.357,0.8640000000000001,5592.304
269,94.896,Common,B,IJN13,,A1,34.316,6.81,6.073,3.543,0.6990000000000001,1939.525
